time,value,top,bot,time_step,next_value
8.3e-05,-0.01851308,1.0,0.0,5e-07,-0.018012168
8.35e-05,-0.018012168,1.0,0.0,5e-07,-0.01751128
8.4e-05,-0.01751128,1.0,0.0,5e-07,-0.017010417
8.45e-05,-0.017010417,1.0,0.0,5e-07,-0.016509578
8.5e-05,-0.016509578,1.0,0.0,5e-07,-0.016008765
8.55e-05,-0.016008765,1.0,0.0,5e-07,-0.015507977
8.6e-05,-0.015507977,1.0,0.0,5e-07,-0.015007215
8.65e-05,-0.015007215,1.0,0.0,5e-07,-0.014506477
8.7e-05,-0.014506477,1.0,0.0,5e-07,-0.014005763
8.75e-05,-0.014005763,1.0,0.0,5e-07,-0.013505076
8.8e-05,-0.013505076,1.0,0.0,5e-07,-0.013004414
8.85e-05,-0.013004414,1.0,0.0,5e-07,-0.012503776
8.9e-05,-0.012503776,1.0,0.0,5e-07,-0.012003163
8.95e-05,-0.012003163,1.0,0.0,5e-07,-0.011502575
9e-05,-0.011502575,1.0,0.0,5e-07,-0.0110020125
9.05e-05,-0.0110020125,1.0,0.0,5e-07,-0.010501475
9.1e-05,-0.010501475,1.0,0.0,5e-07,-0.010000963
9.15e-05,-0.010000963,1.0,0.0,5e-07,-0.009500475
9.2e-05,-0.009500475,1.0,0.0,5e-07,-0.009000013
9.25e-05,-0.009000013,1.0,0.0,5e-07,-0.008499575
9.3e-05,-0.008499575,1.0,0.0,5e-07,-0.007999162
9.35e-05,-0.007999162,1.0,0.0,5e-07,-0.007498775
9.4e-05,-0.007498775,1.0,0.0,5e-07,-0.006998413
9.45e-05,-0.006998413,1.0,0.0,5e-07,-0.0064980756
9.5e-05,-0.0064980756,1.0,0.0,5e-07,-0.005997763
9.55e-05,-0.005997763,1.0,0.0,5e-07,-0.0054974756
9.6e-05,-0.0054974756,1.0,0.0,5e-07,-0.0049972134
9.65e-05,-0.0049972134,1.0,0.0,5e-07,-0.004496976
9.7e-05,-0.004496976,1.0,0.0,5e-07,-0.0039967634
9.75e-05,-0.0039967634,1.0,0.0,5e-07,-0.003496576
9.8e-05,-0.003496576,1.0,0.0,5e-07,-0.0029964137
9.85e-05,-0.0029964137,1.0,0.0,5e-07,-0.0024962765
9.9e-05,-0.0024962765,1.0,0.0,5e-07,-0.0019961642
9.95e-05,-0.0019961642,1.0,0.0,5e-07,-0.0014960769
0.0001,-0.0014960769,1.0,0.0,5e-07,-0.0009960146
0.0001005,-0.0009960146,1.0,0.0,5e-07,-0.0004959773
0.000101,-0.0004959773,1.0,0.0,5e-07,4.0350023e-06
0.0001015,4.0350023e-06,1.0,0.0,5e-07,0.0005040223
0.000102,0.0005040223,1.0,0.0,5e-07,0.0010039846
0.0001025,0.0010039846,1.0,0.0,5e-07,0.0015039219
0.000103,0.0015039219,1.0,0.0,5e-07,0.0020038341
0.0001035,0.0020038341,1.0,0.0,5e-07,0.0025037215
0.000104,0.0025037215,1.0,0.0,5e-07,0.0030035838
0.0001045,0.0030035838,1.0,0.0,5e-07,0.003503421
0.000105,0.003503421,1.0,0.0,5e-07,0.0040032333
0.0001055,0.0040032333,1.0,0.0,5e-07,0.004503021
0.000106,0.004503021,1.0,0.0,5e-07,0.005002783
0.0001065,0.005002783,1.0,0.0,5e-07,0.0055025206
0.000107,0.0055025206,1.0,0.0,5e-07,0.006002233
0.0001075,0.006002233,1.0,0.0,5e-07,0.0065019205
