time,value,top,bot,time_step,L_value,next_value
0.0303585,0.5185695,0.0,1.0,5e-07,1e-2,0.51804364
0.030359,0.51804364,0.0,1.0,5e-07,1e-2,0.51751775
0.0303595,0.51751775,0.0,1.0,5e-07,1e-2,0.51699185
0.03036,0.51699185,0.0,1.0,5e-07,1e-2,0.516466
0.0303605,0.516466,0.0,1.0,5e-07,1e-2,0.5159402
0.030361,0.5159402,0.0,1.0,5e-07,1e-2,0.5154144
0.0303615,0.5154144,0.0,1.0,5e-07,1e-2,0.51488864
0.030362,0.51488864,0.0,1.0,5e-07,1e-2,0.51436293
0.0303625,0.51436293,0.0,1.0,5e-07,1e-2,0.5138372
0.030363,0.5138372,0.0,1.0,5e-07,1e-2,0.51331156
0.0303635,0.51331156,0.0,1.0,5e-07,1e-2,0.5127859
0.030364,0.5127859,0.0,1.0,5e-07,1e-2,0.51226026
0.0303645,0.51226026,0.0,1.0,5e-07,1e-2,0.51173466
0.030365,0.51173466,0.0,1.0,5e-07,1e-2,0.51120913
0.0303655,0.51120913,0.0,1.0,5e-07,1e-2,0.51068354
0.030366,0.51068354,0.0,1.0,5e-07,1e-2,0.51015806
0.0303665,0.51015806,0.0,1.0,5e-07,1e-2,0.5096325
0.030367,0.5096325,0.0,1.0,5e-07,1e-2,0.50910705
0.0303675,0.50910705,0.0,1.0,5e-07,1e-2,0.50858164
0.030368,0.50858164,0.0,1.0,5e-07,1e-2,0.5080562
0.0303685,0.5080562,0.0,1.0,5e-07,1e-2,0.5075308
0.030369,0.5075308,0.0,1.0,5e-07,1e-2,0.50700545
0.0303695,0.50700545,0.0,1.0,5e-07,1e-2,0.5064801
0.03037,0.5064801,0.0,1.0,5e-07,1e-2,0.5059548
0.0303705,0.5059548,0.0,1.0,5e-07,1e-2,0.5054295
0.030371,0.5054295,0.0,1.0,5e-07,1e-2,0.50490427
0.0303715,0.50490427,0.0,1.0,5e-07,1e-2,0.50437903
0.030372,0.50437903,0.0,1.0,5e-07,1e-2,0.50385386
0.0303725,0.50385386,0.0,1.0,5e-07,1e-2,0.5033286
0.030373,0.5033286,0.0,1.0,5e-07,1e-2,0.5028035
0.0303735,0.5028035,0.0,1.0,5e-07,1e-2,0.5022784
0.030374,0.5022784,0.0,1.0,5e-07,1e-2,0.5017533
0.0303745,0.5017533,0.0,1.0,5e-07,1e-2,0.5012282
0.030375,0.5012282,0.0,1.0,5e-07,1e-2,0.50070316
0.0303755,0.50070316,0.0,0.0,5e-07,1e-2,0.5001781
0.030376,0.5001781,0.0,0.0,5e-07,1e-2,0.49965313
0.0303765,0.49965313,1.0,0.0,5e-07,1e-2,0.4993119
0.030377,0.4993119,1.0,0.0,5e-07,1e-2,0.49995318
0.0303775,0.49995318,1.0,0.0,5e-07,1e-2,0.50042814
0.030378,0.50042814,1.0,0.0,5e-07,1e-2,0.5009031
0.0303785,0.5009031,1.0,0.0,5e-07,1e-2,0.50137806
0.030379,0.50137806,1.0,0.0,5e-07,1e-2,0.501853
0.0303795,0.501853,1.0,0.0,5e-07,1e-2,0.5023279
0.03038,0.5023279,1.0,0.0,5e-07,1e-2,0.5028028
0.0303805,0.5028028,1.0,0.0,5e-07,1e-2,0.5032776
0.030381,0.5032776,1.0,0.0,5e-07,1e-2,0.5037524
0.0303815,0.5037524,1.0,0.0,5e-07,1e-2,0.5042272
0.030382,0.5042272,1.0,0.0,5e-07,1e-2,0.50470203
0.0303825,0.50470203,1.0,0.0,5e-07,1e-2,0.5051768
0.030383,0.5051768,1.0,0.0,5e-07,1e-2,0.5056515
0.0303835,0.5056515,1.0,0.0,5e-07,1e-2,0.5061262
0.030384,0.5061262,1.0,0.0,5e-07,1e-2,0.50660086
0.0303845,0.50660086,1.0,0.0,5e-07,1e-2,0.50707555
0.030385,0.50707555,1.0,0.0,5e-07,1e-2,0.5075502
0.0303855,0.5075502,1.0,0.0,5e-07,1e-2,0.5080248
0.030386,0.5080248,1.0,0.0,5e-07,1e-2,0.5084994
0.0303865,0.5084994,1.0,0.0,5e-07,1e-2,0.50897396
0.030387,0.50897396,1.0,0.0,5e-07,1e-2,0.50944847
0.0303875,0.50944847,1.0,0.0,5e-07,1e-2,0.509923
0.030388,0.509923,1.0,0.0,5e-07,1e-2,0.5103975
0.0303885,0.5103975,1.0,0.0,5e-07,1e-2,0.51087195
0.030389,0.51087195,1.0,0.0,5e-07,1e-2,0.5113464
0.0303895,0.5113464,1.0,0.0,5e-07,1e-2,0.5118208
0.03039,0.5118208,1.0,0.0,5e-07,1e-2,0.5122952
0.0303905,0.5122952,1.0,0.0,5e-07,1e-2,0.5127696
0.030391,0.5127696,1.0,0.0,5e-07,1e-2,0.5132439
0.0303915,0.5132439,1.0,0.0,5e-07,1e-2,0.51371825
0.030392,0.51371825,1.0,0.0,5e-07,1e-2,0.5141926
0.0303925,0.5141926,1.0,0.0,5e-07,1e-2,0.51466686
0.030393,0.51466686,1.0,0.0,5e-07,1e-2,0.5151411
0.0303935,0.5151411,1.0,0.0,5e-07,1e-2,0.51561534
0.030394,0.51561534,1.0,0.0,5e-07,1e-2,0.51608956
0.0303945,0.51608956,1.0,0.0,5e-07,1e-2,0.5165637
0.030395,0.5165637,1.0,0.0,5e-07,1e-2,0.51703787
0.0303955,0.51703787,1.0,0.0,5e-07,1e-2,0.517512
0.030396,0.517512,1.0,0.0,5e-07,1e-2,0.5179861
0.0303965,0.5179861,1.0,0.0,5e-07,1e-2,0.5184602
0.030397,0.5184602,1.0,0.0,5e-07,1e-2,0.5189343
0.0303975,0.5189343,1.0,0.0,5e-07,1e-2,0.51940835
0.030398,0.51940835,1.0,0.0,5e-07,1e-2,0.5198823
0.0303985,0.5198823,1.0,0.0,5e-07,1e-2,0.52035636
0.030399,0.52035636,1.0,0.0,5e-07,1e-2,0.52083033
0.0303995,0.52083033,1.0,0.0,5e-07,1e-2,0.52130425
0.0304,0.52130425,1.0,0.0,5e-07,1e-2,0.52177817
0.0304005,0.52177817,1.0,0.0,5e-07,1e-2,0.5222521
0.030401,0.5222521,1.0,0.0,5e-07,1e-2,0.52272594
0.0304015,0.52272594,1.0,0.0,5e-07,1e-2,0.5231998
0.030402,0.5231998,1.0,0.0,5e-07,1e-2,0.52367365
0.0304025,0.52367365,1.0,0.0,5e-07,1e-2,0.52414745
0.030403,0.52414745,1.0,0.0,5e-07,1e-2,0.52462125
0.0304035,0.52462125,1.0,0.0,5e-07,1e-2,0.525095
0.030404,0.525095,1.0,0.0,5e-07,1e-2,0.5255687
0.0304045,0.5255687,1.0,0.0,5e-07,1e-2,0.5260424
0.030405,0.5260424,1.0,0.0,5e-07,1e-2,0.5265161
0.0304055,0.5265161,1.0,0.0,5e-07,1e-2,0.52698976
0.030406,0.52698976,1.0,0.0,5e-07,1e-2,0.5274634
0.0304065,0.5274634,1.0,0.0,5e-07,1e-2,0.527937
0.030407,0.527937,1.0,0.0,5e-07,1e-2,0.5284106
0.0304075,0.5284106,1.0,0.0,5e-07,1e-2,0.5288842
0.030408,0.5288842,1.0,0.0,5e-07,1e-2,0.52935773
0.0304085,0.52935773,1.0,0.0,5e-07,1e-2,0.52983123
0.030409,0.52983123,1.0,0.0,5e-07,1e-2,0.53030473
0.0304095,0.53030473,1.0,0.0,5e-07,1e-2,0.5307782
0.03041,0.5307782,1.0,0.0,5e-07,1e-2,0.53125167
0.0304105,0.53125167,1.0,0.0,5e-07,1e-2,0.5317251
0.030411,0.5317251,1.0,0.0,5e-07,1e-2,0.5321985
0.0304115,0.5321985,1.0,0.0,5e-07,1e-2,0.53267187
0.030412,0.53267187,1.0,0.0,5e-07,1e-2,0.53314525
0.0304125,0.53314525,1.0,0.0,5e-07,1e-2,0.53361857
0.030413,0.53361857,1.0,0.0,5e-07,1e-2,0.5340919
0.0304135,0.5340919,1.0,0.0,5e-07,1e-2,0.53456515
0.030414,0.53456515,1.0,0.0,5e-07,1e-2,0.5350384
0.0304145,0.5350384,1.0,0.0,5e-07,1e-2,0.5355116
0.030415,0.5355116,1.0,0.0,5e-07,1e-2,0.5359849
0.0304155,0.5359849,1.0,0.0,5e-07,1e-2,0.536458
0.030416,0.536458,1.0,0.0,5e-07,1e-2,0.5369312
0.0304165,0.5369312,1.0,0.0,5e-07,1e-2,0.53740436
0.030417,0.53740436,1.0,0.0,5e-07,1e-2,0.53787744
0.0304175,0.53787744,1.0,0.0,5e-07,1e-2,0.5383506
0.030418,0.5383506,1.0,0.0,5e-07,1e-2,0.5388236
0.0304185,0.5388236,1.0,0.0,5e-07,1e-2,0.5392967
0.030419,0.5392967,1.0,0.0,5e-07,1e-2,0.5397697
0.0304195,0.5397697,1.0,0.0,5e-07,1e-2,0.54024273
0.03042,0.54024273,1.0,0.0,5e-07,1e-2,0.5407157
0.0304205,0.5407157,1.0,0.0,5e-07,1e-2,0.54118866
0.030421,0.54118866,1.0,0.0,5e-07,1e-2,0.54166156
0.0304215,0.54166156,1.0,0.0,5e-07,1e-2,0.54213446
0.030422,0.54213446,1.0,0.0,5e-07,1e-2,0.54260737
0.0304225,0.54260737,1.0,0.0,5e-07,1e-2,0.5430802
0.030423,0.5430802,1.0,0.0,5e-07,1e-2,0.54355305
0.0304235,0.54355305,1.0,0.0,5e-07,1e-2,0.54402584
0.030424,0.54402584,1.0,0.0,5e-07,1e-2,0.5444986
0.0304245,0.5444986,1.0,0.0,5e-07,1e-2,0.5449714
0.030425,0.5449714,0.0,0.0,5e-07,1e-2,0.545001
0.0304255,0.545001,0.0,0.0,5e-07,1e-2,0.5439794
0.030426,0.5439794,0.0,1.0,5e-07,1e-2,0.54345226
0.0304265,0.54345226,0.0,1.0,5e-07,1e-2,0.54292506
0.030427,0.54292506,0.0,1.0,5e-07,1e-2,0.5423979
0.0304275,0.5423979,0.0,1.0,5e-07,1e-2,0.54187083
0.030428,0.54187083,0.0,1.0,5e-07,1e-2,0.54134375
0.0304285,0.54134375,0.0,1.0,5e-07,1e-2,0.5408167
0.030429,0.5408167,0.0,1.0,5e-07,1e-2,0.5402897
