Time,Iout,IGBT Leg1.PWM_Modulator.TOP_1,IGBT Leg1.PWM_Modulator.BOT_1
0.042923,1.0745208,1.0,0.0
0.0429235,1.0789825,1.0,0.0
0.042924,1.0834419,1.0,0.0
0.0429245,1.0878991,1.0,0.0
0.042925,1.0923539,1.0,0.0
0.0429255,1.0968066,1.0,0.0
0.042926,1.1012572,1.0,0.0
0.0429265,1.1057055,1.0,0.0
0.042927,1.1101515,1.0,0.0
0.0429275,1.1145953,1.0,0.0
0.042928,1.1190369,1.0,0.0
0.0429285,1.1234763,1.0,0.0
0.042929,1.1279134,0.0,0.0
0.0429295,1.1310734,0.0,0.0
0.04293,1.1239095,0.0,1.0
0.0429305,1.1183488,0.0,1.0
0.042931,1.1127911,0.0,1.0
0.0429315,1.1072361,0.0,1.0
0.042932,1.1016839,0.0,1.0
0.0429325,1.0961344,0.0,1.0
0.042933,1.0905877,0.0,1.0
0.0429335,1.0850438,0.0,1.0
0.042934,1.0795027,0.0,1.0
0.0429345,1.0739644,0.0,1.0
0.042935,1.0684288,0.0,1.0
0.0429355,1.0628959,0.0,1.0
0.042936,1.0573658,0.0,1.0
0.0429365,1.0518385,0.0,1.0
0.042937,1.046314,0.0,1.0
0.0429375,1.0407922,0.0,1.0
0.042938,1.0352732,0.0,1.0
0.0429385,1.0297569,0.0,1.0
0.042939,1.0242435,0.0,1.0
0.0429395,1.0187327,0.0,1.0
0.04294,1.0132247,0.0,1.0
0.0429405,1.0077195,0.0,1.0
0.042941,1.0022169,0.0,1.0
0.0429415,0.9967173,0.0,1.0
0.042942,0.9912203,0.0,1.0
0.0429425,0.98572606,0.0,1.0
0.042943,0.98023456,0.0,1.0
0.0429435,0.9747458,0.0,1.0
0.042944,0.9692598,0.0,1.0
0.0429445,0.9637765,0.0,1.0
0.042945,0.958296,0.0,1.0
0.0429455,0.9528182,0.0,1.0
0.042946,0.94734323,0.0,1.0
0.0429465,0.9418709,0.0,1.0
0.042947,0.9364013,0.0,1.0
0.0429475,0.9309345,0.0,1.0
0.042948,0.9254704,0.0,1.0
0.0429485,0.920009,0.0,1.0
0.042949,0.91455036,0.0,1.0
0.0429495,0.90909445,0.0,1.0
0.04295,0.9036413,0.0,1.0
0.0429505,0.89819086,0.0,1.0
0.042951,0.8927431,0.0,1.0
0.0429515,0.8872981,0.0,1.0
0.042952,0.8818558,0.0,1.0
0.0429525,0.8764162,0.0,1.0
0.042953,0.87097937,0.0,1.0
0.0429535,0.8655453,0.0,1.0
0.042954,0.86011386,0.0,1.0
0.0429545,0.8546851,0.0,1.0
0.042955,0.84925914,0.0,1.0
0.0429555,0.8438359,0.0,1.0
0.042956,0.8384153,0.0,1.0
0.0429565,0.83299744,0.0,1.0
0.042957,0.8275823,0.0,1.0
0.0429575,0.8221699,0.0,1.0
0.042958,0.8167601,0.0,1.0
0.0429585,0.81135315,0.0,1.0
0.042959,0.8059488,0.0,1.0
0.0429595,0.8005472,0.0,1.0
0.04296,0.79514825,0.0,1.0
0.0429605,0.789752,0.0,1.0
0.042961,0.7843585,0.0,1.0
0.0429615,0.7789677,0.0,1.0
0.042962,0.77357954,0.0,1.0
0.0429625,0.7681941,0.0,1.0
0.042963,0.76281136,0.0,1.0
0.0429635,0.75743127,0.0,1.0
0.042964,0.7520539,0.0,1.0
0.0429645,0.74667925,0.0,1.0
0.042965,0.7413072,0.0,1.0
0.0429655,0.7359379,0.0,1.0
0.042966,0.73057127,0.0,1.0
0.0429665,0.7252073,0.0,1.0
0.042967,0.71984607,0.0,1.0
0.0429675,0.7144875,0.0,1.0
0.042968,0.7091316,0.0,1.0
0.0429685,0.7037784,0.0,1.0
0.042969,0.6984278,0.0,1.0
0.0429695,0.69307995,0.0,1.0
0.04297,0.6877347,0.0,1.0
0.0429705,0.6823922,0.0,1.0
0.042971,0.6770523,0.0,1.0
0.0429715,0.67171514,0.0,0.0
0.042972,0.66638064,0.0,0.0
0.0429725,0.66104877,1.0,0.0
0.042973,0.6593834,1.0,0.0
0.0429735,0.66726255,1.0,0.0
0.042974,0.67192775,1.0,0.0
0.0429745,0.6765906,1.0,0.0
0.042975,0.68125117,1.0,0.0
0.0429755,0.6859094,1.0,0.0
0.042976,0.6905653,1.0,0.0
0.0429765,0.6952188,1.0,0.0
0.042977,0.69987005,1.0,0.0
0.0429775,0.704519,1.0,0.0
0.042978,0.7091655,1.0,0.0
0.0429785,0.7138098,1.0,0.0
0.042979,0.71845174,1.0,0.0
0.0429795,0.72309136,1.0,0.0
0.04298,0.7277286,1.0,0.0
0.0429805,0.7323636,1.0,0.0
0.042981,0.7369963,1.0,0.0
0.0429815,0.7416266,1.0,0.0
0.042982,0.7462546,1.0,0.0
0.0429825,0.75088036,1.0,0.0
0.042983,0.7555038,1.0,0.0
0.0429835,0.76012486,1.0,0.0
0.042984,0.7647436,1.0,0.0
0.0429845,0.7693601,1.0,0.0
0.042985,0.7739743,1.0,0.0
0.0429855,0.77858615,1.0,0.0
0.042986,0.7831957,1.0,0.0
0.0429865,0.78780293,1.0,0.0
0.042987,0.7924079,1.0,0.0
0.0429875,0.79701054,1.0,0.0
0.042988,0.8016109,1.0,0.0
0.0429885,0.8062089,1.0,0.0
0.042989,0.81080467,1.0,0.0
0.0429895,0.8153981,1.0,0.0
0.04299,0.81998926,1.0,0.0
0.0429905,0.8245781,1.0,0.0
0.042991,0.8291647,1.0,0.0
0.0429915,0.833749,1.0,0.0
0.042992,0.8383309,1.0,0.0
0.0429925,0.84291065,1.0,0.0
0.042993,0.84748805,1.0,0.0
0.0429935,0.8520632,1.0,0.0
0.042994,0.856636,1.0,0.0
0.0429945,0.86120653,1.0,0.0
0.042995,0.86577475,1.0,0.0
0.0429955,0.87034076,1.0,0.0
0.042996,0.87490445,1.0,0.0
0.0429965,0.8794658,1.0,0.0
0.042997,0.884025,1.0,0.0
0.0429975,0.8885818,1.0,0.0
0.042998,0.8931364,1.0,0.0
0.0429985,0.8976887,1.0,0.0
0.042999,0.90223867,1.0,0.0
0.0429995,0.90678644,1.0,0.0
0.043,0.9113319,1.0,0.0
0.0430005,0.9158751,1.0,0.0
0.043001,0.92041606,1.0,0.0
0.0430015,0.9249547,1.0,0.0
0.043002,0.9294911,1.0,0.0
0.0430025,0.9340252,1.0,0.0
0.043003,0.938557,1.0,0.0
0.0430035,0.9430866,1.0,0.0
0.043004,0.94761395,1.0,0.0
0.0430045,0.952139,1.0,0.0
0.043005,0.9566618,1.0,0.0
0.0430055,0.96118236,1.0,0.0
0.043006,0.9657006,1.0,0.0
0.0430065,0.9702167,1.0,0.0
0.043007,0.97473043,1.0,0.0
0.0430075,0.9792419,1.0,0.0
0.043008,0.9837512,1.0,0.0
0.0430085,0.9882582,1.0,0.0
0.043009,0.9927629,1.0,0.0
0.0430095,0.9972654,1.0,0.0
0.04301,1.0017656,1.0,0.0
0.0430105,1.0062636,1.0,0.0
0.043011,1.0107594,1.0,0.0
0.0430115,1.015253,1.0,0.0
0.043012,1.0197442,1.0,0.0
0.0430125,1.0242331,1.0,0.0
0.043013,1.0287199,1.0,0.0
0.0430135,1.0332044,1.0,0.0
0.043014,1.0376867,1.0,0.0
0.0430145,1.0421667,1.0,0.0
0.043015,1.0466446,1.0,0.0
0.0430155,1.0511202,1.0,0.0
0.043016,1.0555934,1.0,0.0
0.0430165,1.0600646,1.0,0.0
0.043017,1.0645334,1.0,0.0
0.0430175,1.069,1.0,0.0
0.043018,1.0734644,1.0,0.0
0.0430185,1.0779265,1.0,0.0
0.043019,1.0823865,1.0,0.0
0.0430195,1.0868441,1.0,0.0
0.04302,1.0912997,1.0,0.0
0.0430205,1.0957528,1.0,0.0
0.043021,1.1002039,1.0,0.0
0.0430215,1.1046526,1.0,0.0
0.043022,1.1090991,1.0,0.0
0.0430225,1.1135435,1.0,0.0
0.043023,1.1179856,1.0,0.0
0.0430235,1.1224256,1.0,0.0
0.043024,1.1268632,1.0,0.0
0.0430245,1.1312987,1.0,0.0
0.043025,1.1357319,1.0,0.0
0.0430255,1.140163,1.0,0.0
0.043026,1.1445918,1.0,0.0
0.0430265,1.1490184,1.0,0.0
0.043027,1.1534427,1.0,0.0
0.0430275,1.1578649,1.0,0.0
0.043028,1.1622849,1.0,0.0
0.0430285,1.1667026,1.0,0.0
0.043029,1.1711181,0.0,0.0
0.0430295,1.1751454,0.0,0.0
0.04303,1.1690704,0.0,1.0
0.0430305,1.1634872,0.0,1.0
0.043031,1.1579069,0.0,1.0
0.0430315,1.1523293,0.0,1.0
0.043032,1.1467545,0.0,1.0
0.0430325,1.1411825,0.0,1.0
0.043033,1.1356133,0.0,1.0
0.0430335,1.130047,0.0,1.0
0.043034,1.1244833,0.0,1.0
0.0430345,1.1189225,0.0,1.0
0.043035,1.1133645,0.0,1.0
0.0430355,1.1078091,0.0,1.0
0.043036,1.1022567,0.0,1.0
0.0430365,1.0967069,0.0,1.0
0.043037,1.0911599,0.0,1.0
0.0430375,1.0856158,0.0,1.0
0.043038,1.0800743,0.0,1.0
0.0430385,1.0745356,0.0,1.0
0.043039,1.0689998,0.0,1.0
0.0430395,1.0634667,0.0,1.0
0.04304,1.0579363,0.0,1.0
0.0430405,1.0524087,0.0,1.0
0.043041,1.0468838,0.0,1.0
0.0430415,1.0413618,0.0,1.0
0.043042,1.0358425,0.0,1.0
0.0430425,1.030326,0.0,1.0
0.043043,1.0248122,0.0,1.0
0.0430435,1.0193012,0.0,1.0
0.043044,1.0137929,0.0,1.0
0.0430445,1.0082873,0.0,1.0
0.043045,1.0027846,0.0,1.0
0.0430455,0.9972846,0.0,1.0
0.043046,0.9917873,0.0,1.0
0.0430465,0.9862928,0.0,1.0
0.043047,0.980801,0.0,1.0
0.0430475,0.975312,0.0,1.0
0.043048,0.9698257,0.0,1.0
0.0430485,0.9643422,0.0,1.0
0.043049,0.95886135,0.0,1.0
0.0430495,0.95338327,0.0,1.0
0.04305,0.947908,0.0,1.0
0.0430505,0.9424354,0.0,1.0
0.043051,0.9369655,0.0,1.0
0.0430515,0.9314984,0.0,1.0
0.043052,0.92603403,0.0,1.0
0.0430525,0.9205724,0.0,1.0
0.043053,0.91511345,0.0,1.0
0.0430535,0.90965724,0.0,1.0
0.043054,0.9042038,0.0,1.0
0.0430545,0.89875305,0.0,1.0
0.043055,0.89330506,0.0,1.0
0.0430555,0.88785976,0.0,1.0
0.043056,0.8824172,0.0,1.0
0.0430565,0.8769773,0.0,1.0
0.043057,0.8715402,0.0,1.0
0.0430575,0.8661058,0.0,1.0
0.043058,0.8606741,0.0,1.0
0.0430585,0.8552451,0.0,1.0
0.043059,0.8498189,0.0,1.0
0.0430595,0.8443953,0.0,1.0
