"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test the system response for disturbance rejection with different R and C values.
    ","14342","test_rectifier[1e-06-0.01-1e-05]","","Tue May 27 16:33:36 CEST 2025","passed","Tue May 27 16:33:50 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14343","test_rectifier[0.001-0.0001-0.001]","","Tue May 27 16:41:39 CEST 2025","passed","Tue May 27 16:41:54 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14341","test_rectifier[1e-05-0.0001-1e-06]","","Tue May 27 17:01:09 CEST 2025","passed","Tue May 27 17:01:24 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14337","test_rectifier[1e-05-0.0001-1e-05]","","Tue May 27 17:00:40 CEST 2025","passed","Tue May 27 17:00:54 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14341","test_rectifier[0.001-1e-06-0.01]","","Tue May 27 16:22:27 CEST 2025","passed","Tue May 27 16:22:42 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14340","test_rectifier[0.0001-1e-05-1e-06]","","Tue May 27 16:59:11 CEST 2025","passed","Tue May 27 16:59:25 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14341","test_rectifier[0.001-0.0001-1e-06]","","Tue May 27 16:44:46 CEST 2025","passed","Tue May 27 16:45:00 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14341","test_rectifier[1e-06-0.0001-1e-05]","","Tue May 27 17:01:39 CEST 2025","passed","Tue May 27 17:01:53 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14342","test_rectifier[1e-05-1e-06-0.001]","","Tue May 27 16:55:44 CEST 2025","passed","Tue May 27 16:55:58 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","14341","test_rectifier[1e-06-0.01-0.0001]","","Tue May 27 16:31:56 CEST 2025","passed","Tue May 27 16:32:11 CEST 2025","","genResScript","",""
"
    Test the system response for disturbance rejection with different R and C values.
    ","15347","test_rectifier[1e-05-1e-05-1e-06]","","Tue May 27 16:11:16 CEST 2025","passed","Tue May 27 16:11:32 CEST 2025","","genResScript","",""
